14,18,17,22,23,23,15,21,19,22,23,18,24,24,19,20,38,24,31,19,36,23,31,20,36,18,33,23,39,18,38,21,33,23,34,20,33,24,40,23,31,24,34,24,41,24,41,22,38,22,33,20,38,22,41,22,32,20,40,22,38,24,32,24,18,20,1223.0
17,18,17,22,19,24,23,23,14,22,17,24,20,18,22,24,30,22,32,24,39,20,35,23,33,24,33,20,31,20,39,21,41,20,39,18,38,19,37,19,32,19,32,22,31,18,35,18,41,23,35,18,30,24,34,19,30,22,32,18,31,23,38,21,16,23,863.0
23,21,17,20,22,17,23,17,18,20,22,17,19,24,21,23,41,24,33,19,40,22,30,18,32,22,39,20,31,19,41,22,34,21,35,21,34,23,33,19,35,21,41,19,34,22,40,20,31,22,32,20,31,20,34,18,35,20,33,20,40,24,33,18,24,17,-4095.0
13,23,22,17,13,18,14,23,16,22,17,18,16,20,20,24,36,23,41,21,33,23,37,23,36,24,36,19,31,22,33,21,35,24,39,24,37,24,38,18,30,19,32,24,41,24,34,22,41,18,38,23,40,23,38,21,34,20,33,23,35,22,37,20,23,19,770.0
20,18,16,21,16,22,20,19,17,20,22,19,24,23,21,20,32,18,41,21,35,19,33,23,35,24,35,24,35,18,38,24,34,22,38,19,30,19,31,18,30,23,39,20,37,22,34,19,34,23,31,19,36,22,30,19,37,19,30,19,39,22,34,18,11,17,264.0
21,22,18,19,20,21,15,19,18,20,17,22,18,24,17,18,32,21,35,20,33,24,31,23,33,19,38,23,30,24,34,20,39,22,31,22,32,20,39,23,31,23,30,23,40,19,40,22,37,18,38,20,35,21,34,19,40,23,40,20,36,24,31,19,23,20,765.0
21,19,18,24,17,20,18,17,24,21,23,22,20,18,19,19,33,24,35,22,36,18,41,20,32,18,40,18,32,21,39,21,33,22,39,20,39,20,35,18,32,20,36,18,39,20,39,24,32,24,30,24,40,23,38,21,35,21,31,22,34,20,31,20,12,21,602.0
17,17,24,23,22,18,15,24,24,23,15,17,22,21,15,23,30,18,39,19,39,18,37,18,39,24,31,19,41,20,39,22,30,18,35,18,38,23,31,24,33,19,36,22,30,22,35,19,32,24,33,23,36,22,34,18,39,24,40,20,33,22,36,22,17,23,979.0
15,24,17,24,20,17,15,21,19,19,15,19,18,19,21,23,31,18,34,24,41,18,33,18,31,21,31,21,30,22,33,24,36,19,35,18,31,22,33,20,34,20,33,20,36,24,39,18,36,18,39,20,32,20,36,22,33,19,39,18,32,21,36,19,18,19,1123.0
24,24,18,22,22,17,14,17,18,18,16,22,16,23,16,18,32,23,34,19,34,21,32,20,30,19,36,22,39,23,32,20,33,18,30,23,33,23,31,22,30,19,37,24,34,21,40,18,31,22,38,18,41,18,39,19,39,18,35,24,33,19,40,23,24,21,883.0
23,18,16,17,17,21,17,17,13,18,14,23,15,18,23,19,35,22,35,18,37,23,32,20,40,18,31,24,34,22,31,23,41,23,36,23,41,18,40,18,31,18,33,19,41,22,37,22,30,23,33,23,30,22,31,19,38,24,39,19,33,18,35,23,19,21,1026.0
13,24,19,23,20,23,21,19,14,18,20,20,19,19,15,21,34,22,36,22,35,21,33,20,39,18,31,20,34,21,31,20,40,24,34,23,35,22,36,19,34,20,33,18,34,20,41,21,38,20,38,24,37,24,32,23,32,24,36,24,38,23,30,24,11,24,651.0
